sample,site_code,site_name,common_name,species_name,d13c,d15n
TML.6.1,FB,Fern Bay,School Prawn,Metapenaeus macleayi,-17.23,10.71
TML.6.4,FB,Fern Bay,School Prawn,Metapenaeus macleayi,-17.39,10.63
TML.6.3,FB,Fern Bay,School Prawn,Metapenaeus macleayi,-18.39,11.76
TML.6.2,FB,Fern Bay,School Prawn,Metapenaeus macleayi,-17.88,9.96
TML.6.6,FB,Fern Bay,School Prawn,Metapenaeus macleayi,-18.56,10.52
TMS.6.4,FB,Fern Bay,School Prawn,Metapenaeus macleayi,-18.83,11.08
TMS.6.5,FB,Fern Bay,School Prawn,Metapenaeus macleayi,-18.11,10.74
TMS.6.1,FB,Fern Bay,School Prawn,Metapenaeus macleayi,-15,10.31
TMS.6.2,FB,Fern Bay,School Prawn,Metapenaeus macleayi,-19.04,11.26
TMS.6.6,FB,Fern Bay,School Prawn,Metapenaeus macleayi,-18.79,11.11
TMS.6.3,FB,Fern Bay,School Prawn,Metapenaeus macleayi,-18.8,10.57
FB1.37.1,FB1,Fern Bay,FBOM,NA,-24.7,2.6
FB1.37.2,FB1,Fern Bay,FBOM,NA,-23.8,-4.6
FB1.37.3,FB1,Fern Bay,FBOM,NA,-24.1,4.9
FB1.8.1,FB1,Fern Bay,Mangrove + others,NA,-28.4,4.2
FB1.8.2,FB1,Fern Bay,Mangrove + others,NA,-28.3,4.8
FB1.8.3,FB1,Fern Bay,Mangrove + others,NA,-28.5,3.8
FB1.30.1,FB1,Fern Bay,Mangrove + others,NA,-29.5,6.6
FB1.30.2,FB1,Fern Bay,Mangrove + others,NA,-29.7,6.5
FB1.30.3,FB1,Fern Bay,Mangrove + others,NA,-30,6.1
FB2.24.1.M,FB2,Fern Bay,Yellowfin Bream,Acanthopagrus australis,-17.4,13.7
FB2.24.2.M,FB2,Fern Bay,Yellowfin Bream,Acanthopagrus australis,-19.2,15.1
FB2.24.3.M,FB2,Fern Bay,Yellowfin Bream,Acanthopagrus australis,-18.7,13.3
FB2.24.4.M,FB2,Fern Bay,Yellowfin Bream,Acanthopagrus australis,-24.5,8.6
FB2.24.5.M,FB2,Fern Bay,Yellowfin Bream,Acanthopagrus australis,-24.4,13
FB2.24.6.M,FB2,Fern Bay,Yellowfin Bream,Acanthopagrus australis,-18.7,10.1
FB2.24.7.M,FB2,Fern Bay,Yellowfin Bream,Acanthopagrus australis,-18.7,10
FB2.24.7.M,FB2,Fern Bay,Yellowfin Bream,Acanthopagrus australis,-18.6,10.8
FB2.24.8.M,FB2,Fern Bay,Yellowfin Bream,Acanthopagrus australis,-18.3,10.6
FB2.24.9.M,FB2,Fern Bay,Yellowfin Bream,Acanthopagrus australis,-19.7,10.4
FB2.26.2.M,FB2,Fern Bay,Dusky Flathead,Platycephalus fuscus,-15.3,15
