sample,site_code,site_name,common_name,species_name,d13c,d15n
FB1.37.1,FB1,Fern Bay,FBOM,Fine benthic organic matter,-24.7,2.6
FB1.37.2,FB1,Fern Bay,FBOM,Fine benthic organic matter,-23.8,-4.6
FB1.37.3,FB1,Fern Bay,FBOM,Fine benthic organic matter,-24.1,4.9
FB1.8.1,FB1,Fern Bay,Mangrove,Avicennia marina,-28.4,4.2
FB1.8.2,FB1,Fern Bay,Mangrove,Avicennia marina,-28.3,4.8
FB1.8.3,FB1,Fern Bay,Mangrove,Avicennia marina,-28.5,3.8
FB1.30.1,FB1,Fern Bay,Mangrove Epiphyte,Mangrove pneumatophore epiphyte,-29.5,6.6
FB1.30.2,FB1,Fern Bay,Mangrove Epiphyte,Mangrove pneumatophore epiphyte,-29.7,6.5
FB1.30.3,FB1,Fern Bay,Mangrove Epiphyte,Mangrove pneumatophore epiphyte,-30,6.1
FB2.37.1,FB2,Fern Bay,FBOM,Fine benthic organic matter,-24.6,4.1
FB2.37.2,FB2,Fern Bay,FBOM,Fine benthic organic matter,-23.2,1.3
FB2.37.3,FB2,Fern Bay,FBOM,Fine benthic organic matter,-22.9,8.2
FB2.8.1,FB2,Fern Bay,Mangrove,Avicennia marina,-27.3,6.7
FB2.8.2,FB2,Fern Bay,Mangrove,Avicennia marina,-28.3,6
FB2.8.3,FB2,Fern Bay,Mangrove,Avicennia marina,-28.6,8
FB2.30.1,FB2,Fern Bay,Mangrove Epiphyte,Mangrove pneumatophore epiphyte,-18.9,7.9
FB2.30.2,FB2,Fern Bay,Mangrove Epiphyte,Mangrove pneumatophore epiphyte,-28.7,7.4
FB2.30.3,FB2,Fern Bay,Mangrove Epiphyte,Mangrove pneumatophore epiphyte,-27.3,6.8
FB3.32.1,FB3,Fern Bay,Austral Seablite,Sueda australis,-25.9,3.6
FB3.32.2,FB3,Fern Bay,Austral Seablite,Sueda australis,-27.1,2.6
FB3.32.3,FB3,Fern Bay,Austral Seablite,Sueda australis,-25.3,3.2
FB3.35.1,FB3,Fern Bay,Beaded Samphire,Sarcocornia quinqueflora,-27.7,2.3
FB3.35.2,FB3,Fern Bay,Beaded Samphire,Sarcocornia quinqueflora,-27.5,2.3
FB3.35.3,FB3,Fern Bay,Beaded Samphire,Sarcocornia quinqueflora,-27.9,1.5
FB3.37.1,FB3,Fern Bay,FBOM,Fine benthic organic matter,-22.4,-6
FB3.37.2,FB3,Fern Bay,FBOM,Fine benthic organic matter,-22.2,5.4
FB3.37.3,FB3,Fern Bay,FBOM,Fine benthic organic matter,-23.7,2.8
FB3.8.1,FB3,Fern Bay,Mangrove,Avicennia marina,-29.3,3.9
FB3.8.2,FB3,Fern Bay,Mangrove,Avicennia marina,-29.4,3.8
FB3.8.3,FB3,Fern Bay,Mangrove,Avicennia marina,-29.1,4.1
FB3.30.1,FB3,Fern Bay,Mangrove Epiphyte,Mangrove pneumatophore epiphyte,-21.7,7.7
FB3.30.2,FB3,Fern Bay,Mangrove Epiphyte,Mangrove pneumatophore epiphyte,-27.3,7.1
FB3.30.3,FB3,Fern Bay,Mangrove Epiphyte,Mangrove pneumatophore epiphyte,-27.3,7.1
FB3.34.1,FB3,Fern Bay,Salt Couch,Sporobolus virginicus,-14.7,0.6
FB3.34.2,FB3,Fern Bay,Salt Couch,Sporobolus virginicus,-14.3,0.4
FB3.34.3,FB3,Fern Bay,Salt Couch,Sporobolus virginicus,-14.4,0.5
FB3.21.1,FB3,Fern Bay,Zoo,Zooplankton,-21.8,5
FB3.21.2,FB3,Fern Bay,Zoo,Zooplankton,-22.9,7
FB3.21.3,FB3,Fern Bay,Zoo,Zooplankton,-21.5,5.7
FB3.22.1,FB3,Fern Bay,Zoo,Zooplankton,-22.5,6.2
FB3.22.2,FB3,Fern Bay,Zoo,Zooplankton,-22.4,7
FB3.22.3,FB3,Fern Bay,Zoo,Zooplankton,-20.6,5.3
H2.32.1,H2,Hexham,Austral Seablite,Sueda australis,-29.7,4.7
H2.32.2,H2,Hexham,Austral Seablite,Sueda australis,-32.5,5.7
