Sample,Site code,Site name,Species name,Common name,%C,%N,ugC,ugN,d13C,d15N,Type
TML.6.1,FB,Fern Bay,Metapenaeus macleayi,School Prawn,,,,,-17.23,10.71,Consumer
TML.6.4,FB,Fern Bay,Metapenaeus macleayi,School Prawn,,,,,-17.39,10.63,Consumer
TML.6.3,FB,Fern Bay,Metapenaeus macleayi,School Prawn,,,,,-18.39,11.76,Consumer
TML.6.2,FB,Fern Bay,Metapenaeus macleayi,School Prawn,,,,,-17.88,9.96,Consumer
TML.6.6,FB,Fern Bay,Metapenaeus macleayi,School Prawn,,,,,-18.56,10.52,Consumer
TMS.6.4,FB,Fern Bay,Metapenaeus macleayi,School Prawn,,,,,-18.83,11.08,Consumer
TMS.6.5,FB,Fern Bay,Metapenaeus macleayi,School Prawn,,,,,-18.11,10.74,Consumer
TMS.6.1,FB,Fern Bay,Metapenaeus macleayi,School Prawn,,,,,-15,10.31,Consumer
TMS.6.2,FB,Fern Bay,Metapenaeus macleayi,School Prawn,,,,,-19.04,11.26,Consumer
TMS.6.6,FB,Fern Bay,Metapenaeus macleayi,School Prawn,,,,,-18.79,11.11,Consumer
TMS.6.3,FB,Fern Bay,Metapenaeus macleayi,School Prawn,,,,,-18.8,10.57,Consumer
FB1.37.1,FB1,Fern Bay,,FBOM,1.3,0.1,333.2,22.8,-24.7,2.6,Source
FB1.37.2,FB1,Fern Bay,,FBOM,0.8,0.1,146.1,10.1,-23.8,-4.6,Source
FB1.37.3,FB1,Fern Bay,,FBOM,2.1,0.1,675.6,45.2,-24.1,4.9,Source
FB1.8.1,FB1,Fern Bay,,Mangrove + others,43.7,2,3240.1,148.7,-28.4,4.2,Source
FB1.8.2,FB1,Fern Bay,,Mangrove + others,43.3,2,2973,139.1,-28.3,4.8,Source
FB1.8.3,FB1,Fern Bay,,Mangrove + others,40.5,1.9,2827.5,135.4,-28.5,3.8,Source
FB1.30.1,FB1,Fern Bay,,Mangrove + others,14.5,1.5,990.5,103.9,-29.5,6.6,Source
FB1.30.2,FB1,Fern Bay,,Mangrove + others,16.1,1.9,1099.7,128.3,-29.7,6.5,Source
FB1.30.3,FB1,Fern Bay,,Mangrove + others,19.5,2.4,1324.5,162.9,-30,6.1,Source
FB2.24.1.M,FB2,Fern Bay,Acanthopagrus australis,Yellowfin Bream,45.5,14.8,732.7,238.6,-17.4,13.7,Consumer
FB2.24.2.M,FB2,Fern Bay,Acanthopagrus australis,Yellowfin Bream,45.8,14.6,628,200,-19.2,15.1,Consumer
FB2.24.3.M,FB2,Fern Bay,Acanthopagrus australis,Yellowfin Bream,48,15.4,724.3,233,-18.7,13.3,Consumer
