Sample,Site code,Site name,Common name,Species name,%C,%N,ugC,ugN,d13C,d15N
FB1.37.1,FB1,Fern Bay,FBOM,Fine benthic organic matter,1.3,0.1,333.2,22.8,-24.7,2.6
FB1.37.2,FB1,Fern Bay,FBOM,Fine benthic organic matter,0.8,0.1,146.1,10.1,-23.8,-4.6
FB1.37.3,FB1,Fern Bay,FBOM,Fine benthic organic matter,2.1,0.1,675.6,45.2,-24.1,4.9
FB1.8.1,FB1,Fern Bay,Mangrove,Avicennia marina,43.7,2,3240.1,148.7,-28.4,4.2
FB1.8.2,FB1,Fern Bay,Mangrove,Avicennia marina,43.3,2,2973,139.1,-28.3,4.8
FB1.8.3,FB1,Fern Bay,Mangrove,Avicennia marina,40.5,1.9,2827.5,135.4,-28.5,3.8
FB1.30.1,FB1,Fern Bay,Mangrove Epiphyte,Mangrove pneumatophore epiphyte,14.5,1.5,990.5,103.9,-29.5,6.6
FB1.30.2,FB1,Fern Bay,Mangrove Epiphyte,Mangrove pneumatophore epiphyte,16.1,1.9,1099.7,128.3,-29.7,6.5
FB1.30.3,FB1,Fern Bay,Mangrove Epiphyte,Mangrove pneumatophore epiphyte,19.5,2.4,1324.5,162.9,-30,6.1
FB2.37.1,FB2,Fern Bay,FBOM,Fine benthic organic matter,2.6,0.2,649.5,43.4,-24.6,4.1
FB2.37.2,FB2,Fern Bay,FBOM,Fine benthic organic matter,1.4,0.1,312,21.3,-23.2,1.3
FB2.37.3,FB2,Fern Bay,FBOM,Fine benthic organic matter,1.8,0.1,436.4,33.6,-22.9,8.2
FB2.8.1,FB2,Fern Bay,Mangrove,Avicennia marina,44.3,1.8,3187.8,128.5,-27.3,6.7
FB2.8.2,FB2,Fern Bay,Mangrove,Avicennia marina,43.8,1.7,3029.3,117.5,-28.3,6
FB2.8.3,FB2,Fern Bay,Mangrove,Avicennia marina,43.4,1.9,2961.8,126.5,-28.6,8
FB2.30.1,FB2,Fern Bay,Mangrove Epiphyte,Mangrove pneumatophore epiphyte,12.5,1.2,926.7,86.4,-18.9,7.9
FB2.30.2,FB2,Fern Bay,Mangrove Epiphyte,Mangrove pneumatophore epiphyte,15.7,1.7,1209.8,130.3,-28.7,7.4
FB2.30.3,FB2,Fern Bay,Mangrove Epiphyte,Mangrove pneumatophore epiphyte,7.2,0.7,533.5,49.6,-27.3,6.8
FB3.32.1,FB3,Fern Bay,Austral Seablite,Sueda australis,30.7,1.5,2339.5,116.5,-25.9,3.6
FB3.32.2,FB3,Fern Bay,Austral Seablite,Sueda australis,31.2,2.4,2320.7,180.9,-27.1,2.6
FB3.32.3,FB3,Fern Bay,Austral Seablite,Sueda australis,32.7,2.2,2278.7,149.7,-25.3,3.2
FB3.35.1,FB3,Fern Bay,Beaded Samphire,Sarcocornia quinqueflora,34.4,1.2,2634.9,95.6,-27.7,2.3
FB3.35.2,FB3,Fern Bay,Beaded Samphire,Sarcocornia quinqueflora,34.7,1,2541.9,74.4,-27.5,2.3
FB3.35.3,FB3,Fern Bay,Beaded Samphire,Sarcocornia quinqueflora,32.9,0.9,2475,70.1,-27.9,1.5
FB3.37.1,FB3,Fern Bay,FBOM,Fine benthic organic matter,1.4,0.1,411.8,32.7,-22.4,-6
FB3.37.2,FB3,Fern Bay,FBOM,Fine benthic organic matter,0.8,0.1,181.2,12.2,-22.2,5.4
